ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Description,mturkID,age,sex,ethnicity,country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:44,3/15/13 10:52,1,1,NA,28,2,5,1,5,4,4,4,5,6,4,4,4,5,6,4,6,4,6,4,3,3,5,2,4,4,4,5,5,5,2,3,5,5,4,5,6,7,5,5,5,5,5,5,5,5,6,2,3,3,5,5,4,5,3,2,2,5,5,5,5,4,4,4,5,6,5,6,5,5,5,2,5,2,6,3,3,2,5,2,4,5,4,4,3,3,5,2,5,3,3
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:29,3/15/13 10:52,1,1,NA,31,1,5,1,2,3,2,4,2,2,4,2,4,2,2,2,3,6,4,4,5,6,5,5,4,5,2,2,2,2,5,6,2,4,3,2,4,4,4,4,2,2,4,4,2,2,4,4,4,5,2,2,5,4,4,5,4,3,4,4,2,2,4,4,4,4,4,5,4,2,2,4,2,4,4,4,5,5,4,4,2,5,2,2,4,4,2,4,2,3,2
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:43,3/15/13 10:52,1,1,NA,25,2,5,1,3,5,3,3,3,5,4,5,5,5,3,3,5,5,4,5,3,5,3,3,5,6,5,6,4,5,4,5,5,5,5,2,4,6,2,3,5,6,4,3,2,5,6,3,7,6,3,5,6,4,3,4,6,4,6,3,4,2,2,4,3,5,4,3,3,3,3,5,4,6,4,6,6,4,5,4,3,5,4,6,4,2,4,4,3,6,3
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:39,3/15/13 10:52,1,1,NA,38,2,5,1,2,3,2,4,4,5,3,3,3,2,3,2,5,5,5,4,5,3,4,4,4,5,5,2,3,3,6,5,3,1,2,2,3,6,3,4,3,2,4,2,5,4,6,4,6,5,2,3,5,5,4,4,4,2,4,4,3,2,5,6,5,6,2,6,4,6,3,3,5,4,5,5,5,5,6,6,3,6,3,2,3,5,6,2,3,3,3
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:38,3/15/13 10:52,1,1,NA,26,2,5,1,6,5,5,2,6,6,4,6,6,6,5,6,5,3,7,5,2,2,2,2,2,2,5,6,5,6,2,4,5,6,6,5,6,6,6,6,6,6,3,6,6,3,6,2,3,2,5,6,2,2,2,2,2,6,6,2,6,6,2,6,2,6,5,6,6,6,6,6,3,3,2,2,3,2,5,4,5,2,6,5,3,4,5,5,6,6,3
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:43,3/15/13 10:52,1,1,NA,66,2,5,1,5,5,3,2,5,6,2,3,6,5,6,4,5,5,6,3,3,2,2,2,2,4,2,5,5,5,2,2,5,4,2,5,5,6,5,5,5,6,5,5,6,3,6,2,3,3,3,3,3,4,2,3,2,3,5,2,5,5,2,6,2,6,5,6,5,3,5,2,2,2,3,2,3,3,5,2,5,5,5,3,3,3,5,5,5,2,2
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:39,3/15/13 10:52,1,1,NA,29,2,5,1,5,6,5,5,6,5,6,4,6,6,5,6,6,2,6,6,3,3,2,2,5,3,5,5,6,6,1,2,6,6,6,6,6,5,6,7,6,6,6,6,5,6,6,2,2,2,6,5,2,2,2,3,2,5,6,2,6,6,2,6,3,6,7,6,7,6,6,2,6,2,2,2,3,2,6,2,6,6,6,4,3,2,6,5,6,6,6
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:42,3/15/13 10:53,1,1,NA,54,2,2,1,4,2,2,5,3,4,3,5,5,4,5,4,3,5,6,5,4,4,3,4,2,2,3,4,2,3,5,4,5,3,3,2,3,5,4,4,3,4,4,3,5,3,5,3,3,5,2,4,5,5,5,5,5,3,4,5,3,1,2,4,5,5,4,4,3,3,3,4,3,4,4,3,5,5,5,6,3,5,2,4,5,5,3,3,3,3,1
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:47,3/15/13 10:53,1,1,NA,28,2,5,1,5,5,5,3,6,6,4,4,5,5,5,6,5,2,6,5,3,4,2,3,2,3,5,6,6,5,2,4,5,5,5,5,6,6,5,5,5,5,6,5,5,5,6,2,2,3,5,5,2,2,3,5,2,4,5,2,5,5,4,5,3,6,5,5,5,5,5,3,6,4,3,6,2,2,6,3,4,6,5,5,3,3,5,5,6,5,6
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:44,3/15/13 10:54,1,1,NA,57,2,5,1,4,3,3,3,4,4,3,3,2,4,3,5,3,5,4,3,6,5,4,5,4,5,2,2,4,3,6,5,4,3,3,3,5,6,5,5,4,4,3,4,3,4,6,5,5,5,2,4,5,5,3,4,5,3,5,4,4,3,4,3,3,6,3,6,6,5,4,3,2,5,3,5,6,5,5,4,3,5,3,5,3,5,3,3,6,3,1
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:37,3/15/13 10:54,1,1,NA,52,2,5,1,7,5,2,1,3,6,4,3,6,4,6,5,5,7,6,4,5,2,4,5,6,6,6,5,3,2,3,5,3,5,2,2,1,2,3,2,3,4,3,2,2,3,3,7,6,6,2,2,6,6,4,5,6,2,5,6,2,3,4,1,6,3,3,4,3,4,2,6,3,2,7,3,6,6,6,2,3,6,2,3,2,5,3,4,4,2,5
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:44,3/15/13 10:54,1,1,NA,28,2,5,1,3,3,3,3,3,3,4,3,4,3,3,3,4,5,5,4,5,2,5,3,4,5,5,3,3,3,3,5,3,3,3,3,4,5,5,3,4,3,3,3,3,3,4,3,5,5,2,3,5,5,5,4,5,3,3,5,3,3,3,3,4,3,3,3,3,3,3,3,3,3,5,5,5,5,4,5,3,5,3,3,5,5,3,3,3,3,2
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:40,3/15/13 10:54,1,1,NA,30,1,11,1,5,5,5,5,5,6,5,5,5,5,5,5,5,3,5,5,2,3,2,2,2,2,6,5,5,5,2,2,5,5,5,5,5,3,5,5,5,5,5,5,5,5,6,2,3,3,5,5,2,3,3,2,3,5,5,2,5,5,3,6,3,6,5,6,6,6,6,2,5,2,2,2,3,2,5,3,5,6,5,5,3,3,5,5,6,5,5
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:47,3/15/13 10:55,1,1,NA,26,1,5,1,6,3,2,5,5,5,6,5,6,4,5,5,2,5,5,6,4,5,3,4,3,7,4,3,5,5,6,4,6,4,4,2,4,6,4,5,5,6,5,5,6,5,5,4,6,6,3,4,6,6,3,6,3,4,5,4,5,2,4,4,5,5,5,5,6,6,3,3,3,3,6,4,3,5,6,6,4,6,5,5,3,4,5,6,6,3,4
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:44,3/15/13 10:55,1,1,NA,49,2,5,1,5,5,5,7,7,5,4,5,5,5,6,6,6,2,6,6,3,4,2,5,2,5,7,6,5,6,2,4,6,6,5,5,5,6,7,7,6,6,5,6,6,5,7,2,1,3,5,6,2,3,2,2,2,5,6,2,6,5,5,6,2,6,5,7,7,7,6,3,5,2,3,1,3,2,5,3,6,6,5,5,4,4,5,4,7,5,5
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:44,3/15/13 10:55,1,1,NA,67,1,5,1,6,5,5,6,6,5,6,5,6,3,5,5,5,5,5,5,3,3,3,4,3,3,6,4,5,5,3,2,5,5,4,3,4,5,5,5,5,3,4,6,3,3,5,3,4,3,3,4,5,4,4,5,3,4,6,3,6,4,5,5,6,5,5,6,6,5,5,3,5,2,3,3,3,3,6,5,5,6,5,3,3,4,5,3,6,3,3
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:32,3/15/13 10:55,1,1,NA,35,1,6,1,6,5,6,5,6,6,6,6,6,7,6,5,5,6,6,2,6,5,6,2,6,6,3,6,6,6,6,5,5,5,6,6,5,5,6,6,6,6,6,6,6,2,6,5,6,7,6,5,5,5,2,6,6,4,5,5,5,6,5,3,5,5,6,5,6,6,4,6,6,5,5,6,5,5,6,5,6,6,6,6,2,4,6,2,1,6,5
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:42,3/15/13 10:56,1,1,NA,26,1,5,1,5,5,3,5,3,5,4,3,4,5,5,5,6,5,5,4,4,2,5,4,3,6,2,6,5,5,3,5,3,6,3,3,3,3,6,5,5,6,5,6,5,5,6,5,2,2,3,5,2,3,2,5,2,4,7,3,5,4,6,6,5,7,3,7,6,5,5,3,7,2,1,3,4,3,7,1,4,7,3,6,1,1,3,7,6,6,5
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:33,3/15/13 10:56,1,1,NA,20,1,6,1,4,4,2,3,5,6,6,6,6,3,6,6,5,6,6,6,3,2,2,3,2,3,6,5,2,3,5,2,2,2,2,3,5,4,2,4,3,5,2,3,5,2,5,2,3,6,2,5,3,4,3,3,3,2,2,3,2,5,3,2,5,5,2,5,3,4,6,3,2,5,3,4,4,3,7,6,3,5,3,4,4,3,2,3,2,2,2
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:47,3/15/13 10:56,1,1,NA,21,2,4,1,6,6,3,4,6,6,6,7,4,5,5,5,7,4,4,7,5,3,4,5,4,5,6,4,4,6,5,4,4,3,3,2,4,4,7,5,5,4,4,4,7,2,7,4,5,6,2,4,4,5,4,4,4,3,5,4,6,4,6,6,6,6,6,6,7,7,6,3,4,5,2,3,3,3,3,5,6,5,4,5,6,4,7,2,7,5,6
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:49,3/15/13 10:57,1,1,NA,29,1,5,1,6,3,2,1,5,6,5,5,6,3,5,4,5,7,6,5,5,3,3,5,5,5,6,2,2,2,6,5,3,2,2,3,3,3,1,3,3,2,3,2,2,2,2,4,7,6,2,3,7,7,6,5,5,2,5,6,2,2,3,3,6,2,4,5,2,5,3,3,2,4,3,6,6,6,4,7,2,3,2,3,5,6,2,5,3,2,2
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:47,3/15/13 10:57,1,1,NA,21,1,5,1,2,3,3,3,4,3,3,3,4,3,4,3,4,4,4,4,6,4,5,4,5,6,3,3,3,3,5,5,3,3,3,3,3,4,4,4,3,3,4,3,3,3,4,4,5,5,2,3,5,4,5,5,6,2,4,5,3,3,5,3,4,5,3,4,3,4,3,5,3,4,5,6,4,5,3,5,3,4,4,3,5,5,3,3,4,3,4
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:42,3/15/13 10:57,1,1,NA,35,1,5,1,6,5,3,2,5,5,6,5,5,5,6,5,5,6,6,6,5,3,3,4,3,3,2,5,3,2,5,6,2,3,3,2,3,4,3,3,5,5,3,3,6,3,5,5,6,6,2,5,6,5,4,3,5,2,5,5,5,2,4,5,3,3,4,5,4,4,5,4,2,2,6,5,5,6,6,5,2,4,2,4,3,5,3,3,4,2,2
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:51,3/15/13 10:57,1,1,NA,19,2,5,1,4,5,3,3,6,4,5,3,3,5,5,5,5,5,3,4,5,3,5,6,7,6,3,6,3,3,6,6,5,3,3,3,5,5,5,5,5,3,3,5,5,3,6,4,6,6,3,5,5,5,4,3,4,3,5,5,4,3,3,5,5,6,5,6,6,6,4,4,5,6,5,4,4,5,6,2,4,5,3,5,2,3,4,6,5,3,4
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:46,3/15/13 10:58,1,1,NA,31,1,5,1,5,5,3,2,6,6,6,6,5,5,5,4,5,6,6,6,3,3,5,3,5,3,7,5,5,3,5,5,6,5,2,6,6,5,6,5,5,5,6,6,6,5,6,2,5,3,3,5,6,5,2,3,3,5,6,3,3,2,3,6,2,7,6,6,6,6,5,3,3,3,3,3,5,5,7,4,3,6,3,4,3,3,3,3,6,3,4
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:43,3/15/13 10:58,1,1,NA,29,1,5,1,2,2,2,4,2,5,2,1,2,4,5,2,2,6,3,2,6,3,4,6,2,6,2,1,2,1,6,6,2,2,2,2,2,4,4,2,1,4,2,4,5,1,4,1,6,6,2,5,5,5,6,4,4,1,5,5,1,1,1,2,1,2,2,4,2,2,2,5,1,1,7,7,6,5,5,5,4,4,2,5,3,2,2,3,1,1,1
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:49,3/15/13 10:58,1,1,NA,42,1,5,1,3,3,2,4,5,4,2,2,3,2,4,3,4,5,3,3,5,5,5,5,4,5,2,3,2,2,5,5,4,2,2,2,4,5,3,4,4,2,5,4,3,3,5,3,5,5,2,3,5,5,2,4,3,2,5,4,3,2,5,4,5,5,5,5,3,4,3,3,2,3,5,4,5,5,5,5,2,4,3,3,6,5,3,2,3,2,3
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:43,3/15/13 10:58,1,1,NA,32,2,5,1,7,6,6,5,6,7,6,6,7,6,7,6,7,3,7,7,2,2,1,2,1,2,6,7,5,6,1,2,6,6,5,6,5,6,7,6,6,7,3,6,7,5,7,2,2,2,3,7,2,2,1,1,2,5,7,2,6,6,5,6,5,7,6,7,7,7,6,2,5,3,2,2,3,1,7,3,5,7,5,6,1,2,6,5,7,5,3
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:54,3/15/13 10:59,1,1,NA,19,1,5,1,3,3,3,4,4,4,4,4,1,3,2,3,6,5,5,3,5,3,5,1,5,6,4,2,2,3,3,6,3,2,2,3,2,3,5,3,5,4,4,5,4,2,6,5,3,5,2,3,6,5,4,5,5,2,4,4,3,2,4,5,4,5,5,6,5,6,2,3,3,6,2,6,4,4,5,5,2,4,2,3,5,5,3,3,5,1,5
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:50,3/15/13 10:59,1,1,NA,47,1,5,1,6,5,6,5,5,6,6,6,6,5,6,6,2,4,6,6,5,2,3,6,3,6,6,6,3,4,3,3,3,4,4,3,5,6,5,5,5,6,4,4,5,3,6,6,5,5,4,5,4,3,3,4,4,3,6,2,6,3,5,5,5,6,5,6,3,5,6,6,3,3,2,3,3,5,5,5,3,6,3,3,4,6,6,3,5,2,3
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:31,3/15/13 10:59,1,1,NA,24,2,5,1,5,5,5,5,5,5,5,5,6,5,5,5,5,5,6,5,3,3,3,2,4,3,2,5,5,5,3,6,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,2,3,3,3,5,3,2,2,3,2,5,5,3,6,3,3,1,2,5,5,5,6,6,3,3,5,3,3,3,4,2,6,3,5,5,5,5,2,3,3,5,5,5,5
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:51,3/15/13 10:59,1,1,NA,24,1,5,1,5,5,2,2,4,5,4,5,5,2,3,4,2,6,6,5,5,3,3,6,2,4,2,2,2,2,5,5,2,2,2,2,5,5,3,2,3,2,4,2,4,2,5,3,5,5,2,2,6,4,4,5,5,2,3,5,4,2,2,2,2,4,2,4,3,4,4,5,2,2,4,5,6,5,4,5,2,4,2,2,6,6,2,2,2,2,2
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:44,3/15/13 10:59,1,1,NA,54,2,5,1,6,6,3,3,6,7,5,3,6,3,5,6,6,6,6,3,3,3,3,2,2,3,5,3,3,5,3,4,6,5,5,5,6,5,5,7,5,5,5,5,6,5,6,2,5,3,2,5,3,5,3,3,3,5,5,3,5,6,3,6,3,6,6,6,5,5,5,3,3,2,3,3,3,3,4,4,3,3,5,1,4,6,5,3,5,3,6
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:51,3/15/13 11:00,1,1,NA,25,1,5,1,4,5,5,5,5,5,6,6,4,6,5,5,5,4,6,6,5,2,5,4,5,5,5,5,5,5,5,5,6,5,5,2,5,5,6,5,6,6,5,4,5,4,6,2,4,3,4,6,4,3,2,4,3,4,5,3,5,5,5,5,4,5,5,6,6,5,6,4,4,4,3,3,4,4,6,3,5,6,4,5,3,4,6,5,6,4,2
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:52,3/15/13 11:00,1,1,NA,22,1,2,1,5,5,6,6,6,6,5,4,5,2,5,6,3,5,5,5,6,5,3,5,2,3,6,6,6,6,2,4,6,5,6,6,6,2,6,5,6,2,6,6,5,2,6,2,2,5,6,5,3,2,5,4,1,5,5,5,6,6,3,5,3,6,5,6,6,6,6,2,6,2,2,2,2,2,6,4,6,6,6,5,4,2,5,2,5,5,5
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:47,3/15/13 11:00,1,1,NA,35,2,5,1,4,3,5,4,5,5,2,1,4,3,4,4,4,5,4,1,6,4,4,4,4,5,4,5,5,2,4,6,3,4,4,5,4,5,1,5,4,6,4,4,6,3,5,3,4,4,4,4,4,1,3,3,1,4,5,4,4,5,4,5,1,5,4,5,5,4,4,3,5,3,4,4,5,4,6,2,5,5,4,5,2,3,3,5,5,4,4
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:37,3/15/13 11:00,1,1,NA,27,2,5,1,4,6,4,6,4,5,6,6,4,5,4,4,4,4,4,3,4,5,5,4,4,5,4,4,4,5,5,4,6,4,5,5,4,5,5,5,4,5,5,4,4,5,4,3,4,4,4,3,5,4,5,5,5,5,4,5,5,5,3,4,6,4,4,5,5,3,5,6,5,5,5,4,4,3,5,4,4,4,5,4,5,5,4,4,5,4,5
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:52,3/15/13 11:01,1,1,NA,32,1,5,1,5,5,5,3,5,5,6,6,5,3,5,5,5,5,5,5,5,4,3,3,3,5,6,3,5,6,3,3,5,5,5,5,5,5,5,5,5,5,5,6,6,5,6,3,3,5,3,5,3,3,5,3,3,5,5,3,5,5,3,5,3,5,5,5,6,6,5,3,5,3,3,3,3,3,5,5,5,6,6,3,5,5,5,3,6,5,5
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:43,3/15/13 11:01,1,1,NA,54,2,5,1,4,6,6,7,6,3,4,2,5,3,3,5,7,3,5,5,2,4,2,4,6,3,3,2,6,5,2,4,6,6,6,7,4,7,5,7,5,5,7,5,5,5,7,1,4,4,7,5,3,2,3,1,1,6,5,2,6,5,7,5,6,7,4,6,5,7,5,1,5,3,3,3,2,2,7,4,6,6,5,2,2,2,5,5,7,4,5
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:56,3/15/13 11:01,1,1,NA,52,1,5,1,6,6,3,2,6,6,3,3,5,6,5,6,6,6,6,4,5,3,2,3,2,5,5,5,5,4,5,6,6,6,5,5,5,6,5,5,6,6,5,5,7,6,6,2,3,3,2,7,4,5,2,2,3,3,6,3,5,5,3,6,3,6,5,6,5,5,5,3,4,2,3,2,3,3,7,2,5,6,5,5,1,2,3,6,5,3,7
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:53,3/15/13 11:01,1,1,NA,28,2,5,1,5,4,2,2,4,6,4,3,4,4,5,5,5,4,5,3,5,4,5,5,2,6,3,3,4,4,5,6,5,3,3,3,4,5,3,5,5,4,4,4,4,4,5,3,5,6,3,5,5,4,3,3,4,3,5,3,4,4,5,5,2,5,5,5,5,5,4,5,4,5,4,4,3,5,4,4,4,5,3,3,4,4,3,3,5,3,5
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:52,3/15/13 11:01,1,1,NA,23,1,6,1,6,6,4,5,4,5,3,2,6,5,5,5,4,5,7,5,5,4,4,5,4,6,3,6,5,4,4,6,5,5,5,5,6,5,6,5,6,6,5,5,7,4,4,4,4,5,5,5,4,5,5,5,5,6,6,3,5,5,5,6,6,5,5,6,5,4,5,5,4,4,5,3,5,4,7,4,5,5,4,5,2,4,1,5,5,3,1
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:48,3/15/13 11:02,1,1,NA,21,1,5,1,7,7,7,1,7,1,6,6,7,7,7,7,7,1,7,5,1,1,1,1,1,5,1,7,7,7,1,4,7,7,7,7,7,5,7,7,7,7,7,7,7,6,7,1,1,1,7,7,1,1,1,1,1,7,7,1,7,7,1,7,1,7,7,7,7,7,7,1,4,1,1,1,1,1,7,4,7,7,7,7,4,4,7,1,7,4,7
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:58,3/15/13 11:02,1,1,NA,24,1,5,1,2,3,5,5,3,3,6,4,3,5,4,5,3,4,3,2,3,6,6,5,2,7,3,4,1,5,5,4,3,4,5,6,6,5,4,4,6,5,2,5,5,5,3,3,4,3,3,5,5,3,4,4,3,4,6,3,3,4,5,2,6,4,4,5,3,5,2,3,3,3,3,5,5,3,6,4,5,4,3,6,2,5,6,6,5,2,4
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:48,3/15/13 11:02,1,1,NA,29,2,5,1,6,5,6,4,6,6,4,4,5,5,5,5,7,5,7,4,3,4,3,3,1,3,6,5,5,5,4,2,5,5,3,7,7,7,6,6,6,5,2,6,6,3,7,3,4,4,4,3,5,4,3,4,3,5,6,3,4,6,7,6,5,7,5,7,5,5,3,2,7,2,5,3,3,2,7,5,5,7,5,4,4,5,4,2,7,4,7
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:46,3/15/13 11:02,1,1,NA,33,1,5,1,6,5,6,5,6,6,5,7,6,5,6,7,6,2,7,6,3,1,2,4,1,6,6,6,6,6,2,5,6,6,5,7,5,7,7,7,6,6,6,7,7,5,6,2,2,2,6,6,2,2,1,3,2,6,5,1,5,5,4,6,2,5,7,6,6,6,5,3,3,3,2,1,3,3,6,3,6,7,5,5,2,3,6,5,6,6,3
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:56,3/15/13 11:02,1,1,NA,26,2,5,1,3,4,7,5,4,5,4,4,4,7,6,5,5,4,4,4,4,4,4,4,5,5,1,1,4,4,4,4,7,4,4,4,7,7,4,4,3,4,3,4,4,7,7,5,7,4,3,4,7,5,4,4,4,4,4,2,5,4,4,4,4,4,7,4,4,3,5,4,5,4,4,4,4,4,5,4,3,4,4,4,3,6,4,4,5,3,4
