¥éËV1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Consent,Q1,Q2,Q3,Q4,Q5,Main_1,Main_2,Main_3,Main_4,Main_5,Main_6,Main_7,Main_8,Main_9,Main_10,Main_11,Main_12,Main_13,Main_14,Main_15,Main_16,Main_17,Main_18,Main_19,Main_20,Main_21,Main_22,Main_23,Main_24,Main_25,Main_26,Main_27,Main_28,Main_29,Main_30,Main_31,Main_32,Main_33,Main_34,Main_35,Main_36,Main_37,Main_38,Main_39,Main_40,Main_41,Main_42,Main_43,Main_44,Main_45,Main_46,Main_47,Main_48,Main_49,Main_50,Main_51,Main_52,Main_53,Main_54,Main_55,Main_56,Main_57,Main_58,Main_59,Main_60,Main_61,Main_62,Main_63,Main_64,Main_65,Main_66,Main_67,Main_68,Main_69,Main_70,Main_71,Main_72,Main_73,Main_74,Main_75,Main_76,Main_77,Main_78,Main_79,Main_80,Main_81,Main_82,Main_83,Main_84,Main_85,Main_86,Main_87,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,DESCRIPTION: You are / invited to participate in a research / study on social decision-making.  / You will...,Please enter your Mechanical Turk ID:,Please enter your age:,Please indicate your gender:,Please indicate your racial/ethnic affiliation (check all that apply):,Select your country of residence:,"Although some of the following questions may seem similar to one another, they differ in important w...-I find that even just being around other people can help me to feel better.","Although some of the following questions may seem similar to one another, they differ in important w...-When I want to feel less negative emotion, I seek out the company of others.","Although some of the following questions may seem similar to one another, they differ in important w...-When something bad happens, my first impulse is to seek out the company of others.","Although some of the following questions may seem similar to one another, they differ in important w...-When Iäó»m experiencing negative emotion, being around other people only makes me feel better if we talk about my experience/feelings.","Although some of the following questions may seem similar to one another, they differ in important w...-I find it easier to get through stressful situations when going through them with someone else.","Although some of the following questions may seem similar to one another, they differ in important w...-Simply being around other people can make me feel better when Iäó»m having a problem, even if we donäó»t talk about my experiences or feelings.","Although some of the following questions may seem similar to one another, they differ in important w...-Iäó»m happier when Iäó»m with my friends than when Iäó»m by myself.","Although some of the following questions may seem similar to one another, they differ in important w...-I choose to be around my friends whenever possible.","Although some of the following questions may seem similar to one another, they differ in important w...-Being with other people tends to put a smile on my face.","Although some of the following questions may seem similar to one another, they differ in important w...-When something good happens, my first impulse is to seek out the company of others.","Although some of the following questions may seem similar to one another, they differ in important w...-When I want to feel more positive emotion, I find that even just being around other people can help.","Although some of the following questions may seem similar to one another, they differ in important w...-I seek out the company of others when I want to feel more positive emotion.","Although some of the following questions may seem similar to one another, they differ in important w...-Feeling like Iäó»m not alone usually helps me to feel better when times are tough.","Although some of the following questions may seem similar to one another, they differ in important w...-I donäó»t need to talk about my thoughts or feelings for the company of others to make me feel better.","Although some of the following questions may seem similar to one another, they differ in important w...-I really enjoy being around the people I know.","Although some of the following questions may seem similar to one another, they differ in important w...-Iäó»m happiest when Iäó»m with my friends.","Although some of the following questions may seem similar to one another, they differ in important w...-When things are going wrong, I prefer to be alone.","Although some of the following questions may seem similar to one another, they differ in important w...-I prefer to be alone when things are going well.","Although some of the following questions may seem similar to one another, they differ in important w...-When I want to feel less negative emotion, I avoid the company of others.","Although some of the following questions may seem similar to one another, they differ in important w...-Whether other people are around or not doesnäó»t matter much when Iäó»m unhappy.","Although some of the following questions may seem similar to one another, they differ in important w...-If Iäó»m in a bad mood, then being around other people just makes me feel worse.","Although some of the following questions may seem similar to one another, they differ in important w...-When Iäó»m having a bad day, I tend to avoid other people.","Although some of the following questions may seem similar to one another, they differ in important w...-After a certain amount of time alone, I canäó»t help but seek out others.","Although some of the following questions may seem similar to one another, they differ in important w...-When things are going well, I feel compelled to seek out other people.","Although some of the following questions may seem similar to one another, they differ in important w...-I feel compelled to seek out other people when things are going badly.","Although some of the following questions may seem similar to one another, they differ in important w...-When Iäó»m having problems, I canäó»t help but seek out friends.","Although some of the following questions may seem similar to one another, they differ in important w...-I donäó»t really seek out other people.","Although some of the following questions may seem similar to one another, they differ in important w...-I tend to prefer to be by myself.","Although some of the following questions may seem similar to one another, they differ in important w...-When I want to feel less negative emotion, I find it helps to share my feelings and experiences with other people.","Although some of the following questions may seem similar to one another, they differ in important w...-I tend to share my feelings and experiences with other people.","Although some of the following questions may seem similar to one another, they differ in important w...-I manage my emotions by expressing them to others.","Although some of the following questions may seem similar to one another, they differ in important w...-When something bad happens, my first impulse is to tell someone about it.","Although some of the following questions may seem similar to one another, they differ in important w...-I find it sometimes helps to tell someone about my feelings or experiences, even if they donäó»t respond just how I wanted them to.","Although some of the following questions may seem similar to one another, they differ in important w...-Sometimes when Iäó»m telling someone about my feelings or experiences, I need them to just listen and not respond too much.","Although some of the following questions may seem similar to one another, they differ in important w...-I often seek out friends with whom I can share my feelings.","Although some of the following questions may seem similar to one another, they differ in important w...-Sharing my feelings with other people really helps me during difficult times.","Although some of the following questions may seem similar to one another, they differ in important w...-When I want to feel more positive emotion, I find it helps to share my feelings and experiences with other people.","Although some of the following questions may seem similar to one another, they differ in important w...-When something good happens, my first impulse is to tell someone about it.","Although some of the following questions may seem similar to one another, they differ in important w...-I often donäó»t feel as bad about negative events once Iäó»ve told someone about them.","Although some of the following questions may seem similar to one another, they differ in important w...-Telling other people about my thoughts and feelings really helps me to work through them.","Although some of the following questions may seem similar to one another, they differ in important w...-When I want to celebrate something good, I seek out certain people to tell them about it.","Although some of the following questions may seem similar to one another, they differ in important w...-I tend to feel worse about bad things until I can share them with someone.","Although some of the following questions may seem similar to one another, they differ in important w...-Sometimes I just need someone to understand where Iäó»m coming from.","Although some of the following questions may seem similar to one another, they differ in important w...-Telling other people about my feelings usually just leaves me feeling even more upset.","Although some of the following questions may seem similar to one another, they differ in important w...-I avoid telling other people about my problems.","Although some of the following questions may seem similar to one another, they differ in important w...-Iäó»d rather not express what Iäó»m going through to others.","Although some of the following questions may seem similar to one another, they differ in important w...-When Iäó»m having trouble, I canäó»t wait to tell someone about it.","Although some of the following questions may seem similar to one another, they differ in important w...-When things are going well, I just have to tell other people about it.","Although some of the following questions may seem similar to one another, they differ in important w...-I donäó»t feel much of a need to tell other people about my feelings.","Although some of the following questions may seem similar to one another, they differ in important w...-I donäó»t tell other people about whatäó»s going on with me if I can help it.","Although some of the following questions may seem similar to one another, they differ in important w...-When good things happen, I keep them to myself.","Although some of the following questions may seem similar to one another, they differ in important w...-It doesnäó»t make me feel any different whether I share my positive feelings with others.","Although some of the following questions may seem similar to one another, they differ in important w...-I donäó»t find it helpful to tell other people about my problems.","Although some of the following questions may seem similar to one another, they differ in important w...-When things are going wrong, I canäó»t help but tell other people.","Although some of the following questions may seem similar to one another, they differ in important w...-Sharing my accomplishments with other people makes me feel even better.","Although some of the following questions may seem similar to one another, they differ in important w...-I rarely find it useful to tell other people whatäó»s going on with me.","Although some of the following questions may seem similar to one another, they differ in important w...-When I want to feel less negative emotion, I seek out the support of other people.","Although some of the following questions may seem similar to one another, they differ in important w...-When something bad happens, my first impulse is to seek out help or support.","Although some of the following questions may seem similar to one another, they differ in important w...-Talking about my experiences or feelings with someone only makes me feel better if they respond how I want them to.","Although some of the following questions may seem similar to one another, they differ in important w...-I really appreciate having other people to help me figure out my problems.","Although some of the following questions may seem similar to one another, they differ in important w...-I only find it helpful to talk to other people about my problems if theyäó»re able to help me resolve them.","Although some of the following questions may seem similar to one another, they differ in important w...-It really helps me feel better during stressful situations when someone knows and cares about what Iäó»m going through.","Although some of the following questions may seem similar to one another, they differ in important w...-Having someone help me to work through a situation really helps me to get my thoughts and feelings straight.","Although some of the following questions may seem similar to one another, they differ in important w...-I appreciate having othersäó» support through difficult times.","Although some of the following questions may seem similar to one another, they differ in important w...-When Iäó»m having a tough time, I tend to seek out people who understand where Iäó»m coming from.","Although some of the following questions may seem similar to one another, they differ in important w...-I feel better about my problems when someone can identify with my experience.","Although some of the following questions may seem similar to one another, they differ in important w...-When I want to feel more positive emotion, I seek out the support of other people.","Although some of the following questions may seem similar to one another, they differ in important w...-It doesnäó»t matter much what other people do to try to help me feel better.","Although some of the following questions may seem similar to one another, they differ in important w...-I really need to feel validated when Iäó»m upset.","Although some of the following questions may seem similar to one another, they differ in important w...-When I try to get help with problems, I just end up getting more frustrated.","Although some of the following questions may seem similar to one another, they differ in important w...-I tend to avoid getting other peopleäó»s opinions on my problems.","Although some of the following questions may seem similar to one another, they differ in important w...-I donäó»t find other people very helpful in dealing with my problems.","Although some of the following questions may seem similar to one another, they differ in important w...-It doesnäó»t matter much to me whether or not other people know what Iäó»m going through.","Although some of the following questions may seem similar to one another, they differ in important w...-I donäó»t really seek out the support of other people.","Although some of the following questions may seem similar to one another, they differ in important w...-It really makes me feel great to receive praise for my accomplishments.","Although some of the following questions may seem similar to one another, they differ in important w...-I donäó»t really care whether or not other people celebrate my achievements.","Although some of the following questions may seem similar to one another, they differ in important w...-When Iäó»m having problems I canäó»t help but seek out othersäó» support.","Although some of the following questions may seem similar to one another, the