MTurkID,IRQ2_1,IRQ2_2,IRQ2_3,IRQ2_4,IRQ2_5,IRQ2_6,IRQ2_7,IRQ2_8,IRQ2_9,IRQ2_10,IRQ2_11,IRQ2_12,IRQ2_13,IRQ2_14,IRQ2_15,IRQ2_16
NA,2,2,5,6,6,6,6,2,7,7,3,6,5,6,6,6
NA,5,4,5,1,5,1,5,5,5,7,4,5,6,7,7,6
NA,7,4,5,5,7,6,6,6,6,6,6,6,4,4,7,6
NA,4,3,4,4,6,5,5,6,5,5,5,6,4,5,4,6
NA,3,3,3,4,7,6,6,5,6,6,6,7,6,7,6,7
NA,3,3,3,2,6,5,6,5,3,5,5,6,2,3,5,5
NA,5,2,6,7,6,6,4,6,6,7,6,5,7,7,6,5
NA,5,5,6,4,7,7,6,6,5,5,5,5,5,4,4,6
NA,6,6,6,6,6,6,6,6,6,6,6,6,4,6,5,6
NA,5,6,6,6,7,6,7,6,6,6,6,6,6,6,6,7
NA,3,4,2,5,6,5,7,5,5,5,5,6,6,6,6,7
NA,2,2,1,1,7,6,5,5,2,2,2,4,2,5,5,7
NA,5,4,5,5,6,6,5,5,6,6,6,6,4,6,5,6
NA,3,3,3,5,5,5,4,6,5,5,6,5,3,6,5,7
NA,5,6,6,3,6,6,6,6,5,5,4,5,4,4,5,5
NA,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
NA,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6
NA,5,3,6,6,6,6,7,6,6,6,5,6,5,5,6,6
NA,4,5,4,3,5,4,5,5,5,5,6,5,5,6,6,6
NA,2,2,4,3,5,5,4,5,3,2,3,3,2,3,3,4
NA,3,3,4,3,5,5,5,4,4,4,3,4,3,5,5,6
NA,1,1,1,2,1,1,1,1,5,3,3,5,1,1,1,1
NA,2,2,2,5,6,6,6,6,6,6,5,5,4,5,5,5
NA,1,2,5,3,7,7,6,6,6,7,7,7,3,6,5,6
NA,1,1,2,1,2,2,2,2,3,3,3,5,2,2,2,2
NA,7,7,4,7,7,7,7,7,7,7,7,7,4,7,7,7
NA,1,5,1,5,4,5,4,1,2,2,1,5,3,4,6,3
NA,6,6,6,6,7,6,6,7,7,7,6,7,5,7,6,7
NA,2,3,2,3,5,5,5,4,4,4,3,4,3,3,3,5
NA,5,4,4,4,6,7,6,6,4,6,4,6,4,6,6,6
NA,3,3,5,5,6,6,5,6,3,3,3,6,6,3,6,6
NA,7,6,5,6,6,7,7,7,7,6,6,7,6,6,6,7
NA,2,2,4,3,6,6,6,5,3,3,2,5,5,6,6,6
NA,2,3,2,2,6,4,6,4,5,5,5,6,4,4,6,6
NA,3,4,4,3,4,5,4,4,4,4,3,5,4,4,5,4
NA,5,5,6,6,6,5,5,5,6,6,6,5,6,5,5,6
NA,2,2,1,2,6,7,6,5,5,6,5,5,2,4,5,5
NA,2,2,2,2,6,4,4,3,4,4,5,4,6,5,5,5
NA,5,2,6,6,7,6,6,6,6,7,6,6,4,7,6,6
NA,2,1,1,2,2,2,2,3,7,7,1,7,3,4,5,5
NA,3,2,5,3,6,6,6,5,6,7,6,6,3,6,5,6
NA,4,4,4,4,4,4,4,5,4,4,5,5,5,4,3,3
NA,2,2,4,1,4,2,2,4,2,2,2,2,2,2,2,4
NA,6,3,4,5,7,4,7,5,5,6,5,6,4,4,5,5
NA,4,5,6,4,6,6,6,4,4,4,4,4,5,6,6,6
NA,3,1,2,3,6,6,6,4,3,5,4,5,2,2,3,5
NA,6,7,5,7,7,7,7,7,7,7,6,7,4,6,5,6
NA,1,2,1,1,3,5,3,2,2,2,2,3,3,5,5,5
NA,2,2,3,2,5,5,5,4,4,4,4,5,3,3,4,4
NA,4,5,5,5,6,6,5,3,4,4,5,5,4,4,5,4
NA,2,1,1,3,6,2,6,4,3,3,3,3,6,5,4,7
NA,3,3,3,3,6,6,6,6,5,5,5,6,3,3,4,3
NA,5,5,5,5,6,6,6,6,6,7,6,7,6,7,6,6
NA,5,4,2,5,6,5,6,5,4,5,5,5,2,5,5,6
NA,6,5,6,6,6,7,6,5,6,7,6,6,4,5,5,6
NA,3,4,3,3,5,5,5,5,5,5,5,6,4,5,5,5
NA,2,2,4,2,2,4,2,5,4,2,2,4,2,2,2,2
NA,4,2,4,2,6,5,4,5,5,2,5,5,3,5,6,5
NA,3,4,3,4,7,7,7,7,7,7,7,7,7,7,7,7
NA,2,2,3,2,6,5,4,5,6,6,6,6,5,6,4,7
NA,3,3,3,5,5,5,6,4,6,5,3,5,2,5,5,5
NA,2,2,2,2,6,5,6,4,5,6,5,6,4,6,6,5
NA,6,6,6,6,6,7,7,7,6,6,6,6,5,6,6,6
NA,4,4,4,5,5,5,5,5,3,5,5,4,4,4,5,6
NA,4,5,4,4,4,4,5,5,4,5,4,5,5,3,5,5
NA,6,5,5,6,6,6,6,5,6,7,6,7,6,7,5,7
NA,3,3,4,2,7,5,6,4,7,6,6,6,7,6,6,6
NA,3,2,3,4,6,5,5,2,6,7,5,7,6,6,6,6
NA,2,1,1,2,6,6,4,1,4,2,2,2,4,5,4,5
NA,6,5,6,5,6,4,5,5,5,5,5,5,5,5,5,5
NA,5,6,5,4,7,6,7,6,6,6,6,6,3,4,5,5
NA,4,4,5,6,6,6,6,6,6,6,5,6,5,6,6,6
NA,3,2,3,3,5,3,5,5,3,5,3,5,5,4,3,6
NA,6,3,7,5,6,5,7,1,7,6,6,7,6,5,5,3
NA,2,2,2,4,6,4,5,5,4,4,5,5,4,5,5,6
NA,6,5,6,5,6,6,6,6,5,5,6,6,7,6,6,5
NA,1,2,1,2,4,1,1,4,2,2,1,5,4,5,4,6
NA,1,1,1,1,6,3,5,4,1,1,2,1,4,4,5,4
NA,6,6,6,6,7,6,7,6,6,6,6,6,5,5,5,6
NA,7,7,6,6,7,7,7,6,5,6,6,6,4,7,7,6
NA,3,3,5,6,6,6,7,7,6,6,5,7,3,7,5,7
NA,3,3,5,5,7,3,7,7,6,7,6,6,7,7,6,7
NA,2,2,3,3,5,2,3,5,4,5,4,5,4,5,4,5
NA,2,2,3,2,5,4,3,3,3,3,3,3,5,3,3,5
NA,3,3,4,5,6,6,5,6,6,7,7,7,5,6,5,7
NA,4,2,3,5,6,5,6,3,5,6,5,5,5,6,5,5
NA,3,3,5,4,5,5,6,5,5,6,6,5,5,5,6,5
NA,5,5,3,5,7,7,7,6,5,5,4,5,6,6,6,6
NA,6,5,6,4,7,7,7,6,6,6,6,6,4,6,5,6
NA,2,2,2,5,5,4,6,5,6,7,3,6,4,6,5,6
NA,3,3,4,3,5,5,4,3,5,5,5,5,3,5,5,5
NA,5,5,4,6,6,6,5,5,4,5,6,6,3,4,5,6
NA,6,3,5,5,7,6,7,6,5,5,5,6,5,6,7,7
NA,5,3,2,5,7,5,5,5,7,7,6,7,5,7,7,6
NA,1,1,1,1,4,2,2,2,2,2,2,3,2,4,3,4
NA,2,5,3,3,6,6,5,5,5,5,5,6,3,6,5,6
NA,2,2,2,5,6,6,6,2,3,1,3,6,7,7,6,6
NA,4,2,3,4,7,7,6,5,4,7,4,5,4,5,6,6
NA,2,3,4,7,7,7,7,4,6,6,6,7,4,5,5,6
NA,6,2,5,5,5,6,6,6,6,7,6,6,6,6,6,6
NA,3,4,5,3,5,5,4,4,4,5,6,6,6,6,4,5
NA,5,3,3,3,6,5,3,5,5,5,5,5,3,6,5,6
NA,4,4,4,4,6,7,7,6,6,6,6,6,5,6,6,6
NA,4,3,4,4,5,4,4,4,7,6,6,6,6,6,5,7
NA,3,3,5,5,6,5,6,5,5,5,5,5,6,7,7,6
NA,2,3,2,3,6,3,6,4,2,2,5,6,4,7,6,7
NA,2,2,2,3,6,6,6,6,7,7,7,7,6,5,6,6
NA,6,5,6,3,6,5,6,5,5,5,5,6,3,2,3,7
NA,4,5,4,3,5,3,6,5,4,5,2,5,4,6,5,5
NA,3,3,3,2,6,3,5,5,4,5,4,4,2,3,3,5
NA,5,5,6,2,6,6,5,5,6,6,5,6,5,6,5,6
NA,3,3,3,3,3,4,4,3,3,3,3,3,2,3,3,4
NA,3,3,3,3,3,4,4,3,3,3,3,3,2,3,3,4
NA,3,3,3,3,3,4,4,3,3,3,3,3,2,3,3,4
NA,3,3,3,3,3,4,4,3,3,3,3,3,2,3,3,4
NA,3,3,5,4,5,7,6,6,6,7,5,7,3,5,5,6
NA,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
NA,2,1,2,4,5,5,4,2,5,5,2,5,1,4,5,4
NA,7,7,7,5,7,7,7,6,7,6,6,7,5,7,7,7
NA,5,6,4,5,7,6,5,5,6,5,5,6,6,6,5,6
NA,5,5,4,5,5,5,5,5,5,6,6,7,4,6,5,6
NA,6,3,3,5,7,7,7,5,4,5,4,6,6,6,7,7
